2015-10-15,0.7397,1.1439,4.3425,1.0873
2015-10-16,0.7356,1.1360,4.3792,1.0809
2015-10-19,0.7317,1.1333,4.4185,1.0834
2015-10-20,0.7352,1.1373,4.3898,1.0823
2015-10-21,0.7349,1.1354,4.4577,1.0864
2015-10-22,0.7314,1.1313,4.4791,1.0886
2015-10-23,0.7196,1.1084,4.3168,1.0793
2015-10-26,0.7184,1.1011,4.2481,1.0823
2015-10-27,0.7214,1.1061,4.3377,1.0880
2015-10-28,0.7248,1.1085,4.3062,1.0899
2015-10-29,0.7167,1.0930,4.3022,1.0851
2015-10-30,0.7182,1.1017,4.2724,1.0900
2015-11-02,0.7132,1.1032,4.2724,1.0885
2015-11-03,0.7132,1.0976,4.1813,1.0869
2015-11-04,0.7094,1.0935,4.1035,1.0813
2015-11-05,0.7126,1.0883,4.1364,1.0833
2015-11-06,0.7177,1.0864,4.1206,1.0830
2015-11-09,0.7141,1.0776,4.0896,1.0815
2015-11-10,0.7084,1.0711,4.0627,1.0765
2015-11-11,0.7060,1.0716,4.0013,1.0783
2015-11-12,0.7064,1.0726,4.0793,1.0769
2015-11-13,0.7071,1.0764,4.0847,1.0786
2015-11-16,0.7058,1.0723,4.1144,1.0791
2015-11-17,0.7017,1.0670,4.0684,1.0806
2015-11-18,0.7009,1.0666,4.0563,1.0838
2015-11-19,0.6998,1.0687,4.0154,1.0893
2015-11-20,0.7010,1.0688,3.9660,1.0844
2015-11-23,0.7025,1.0631,3.9654,1.0848
2015-11-24,0.7062,1.0651,3.9550,1.0832
2015-11-25,0.7018,1.0586,3.9890,1.0820
2015-11-26,0.7028,1.0612,3.9935,1.0868
2015-11-27,0.7029,1.0580,3.9359,1.0900
2015-11-30,0.7048,1.0579,4.0709,1.0903
2015-12-01,0.7036,1.0600,4.1255,1.0908
2015-12-02,0.7059,1.0612,4.0884,1.0880
2015-12-03,0.7122,1.0671,4.0476,1.0840
2015-12-04,0.7201,1.0902,4.1180,1.0882
2015-12-07,0.7177,1.0809,4.0425,1.0830
2015-12-08,0.7271,1.0875,4.1297,1.0820
2015-12-09,0.7251,1.0941,4.1247,1.0830
2015-12-10,0.7235,1.0943,4.1177,1.0806
2015-12-11,0.7224,1.0950,4.2190,1.0819
2015-12-14,0.7260,1.0983,4.2883,1.0771
2015-12-15,0.7252,1.0990,4.2609,1.0831
2015-12-16,0.7283,1.0933,4.3042,1.0824
2015-12-17,0.7266,1.0841,4.2031,1.0807
2016-01-11,0.7471,1.0888,4.3786,1.0863
2015-12-18,0.7267,1.0836,4.2265,1.0768
2015-12-21,0.7299,1.0870,4.3219,1.0804
2015-12-22,0.7362,1.0952,4.3619,1.0818
2015-12-23,0.7330,1.0916,4.3311,1.0812
2015-12-24,0.7342,1.0947,4.3142,1.0806
2015-12-28,0.7354,1.0962,4.3034,1.0838
2015-12-29,0.7401,1.0952,4.2187,1.0846
2015-12-30,0.7380,1.0926,4.2590,1.0814
2016-01-12,0.7508,1.0836,4.3704,1.0855
2016-01-13,0.7502,1.0816,4.3214,1.0926
2015-12-31,0.7340,1.0887,4.3117,1.0835
2016-01-04,0.7381,1.0898,4.4023,1.0891
2016-01-05,0.7324,1.0746,4.3023,1.0847
2016-01-06,0.7344,1.0742,4.3331,1.0846
2016-01-07,0.7455,1.0868,4.4001,1.0875
2016-01-08,0.7452,1.0861,4.3685,1.0860
2016-01-14,0.7570,1.0893,4.3730,1.0950
2016-01-15,0.7615,1.0914,4.4139,1.0951
2016-01-18,0.7626,1.0892,4.3929,1.0946
2016-01-19,0.7647,1.0868,4.3758,1.0922
2016-01-20,0.7700,1.0907,4.4559,1.0932
2016-01-21,0.7718,1.0893,4.5230,1.0949
2016-01-22,0.7546,1.0808,4.4550,1.0950
2016-01-25,0.7589,1.0815,4.4276,1.0981
2016-01-26,0.7610,1.0837,4.4465,1.1008
2016-01-27,0.7597,1.0888,4.3963,1.1068
2016-01-28,0.7623,1.0903,4.4753,1.1053
2016-01-29,0.7641,1.0920,4.4294,1.1144
2016-02-01,0.7610,1.0884,4.3511,1.1096
2016-02-02,0.7586,1.0919,4.3565,1.1147
2016-02-03,0.7533,1.0933,4.3280,1.1115
2016-02-04,0.7660,1.1206,4.3486,1.1169
2016-02-08,0.7724,1.1101,4.3245,1.1051
2016-02-05,0.7698,1.1202,4.3454,1.1101
2016-02-09,0.7795,1.1236,4.3741,1.0997
2016-02-10,0.7733,1.1257,4.3758,1.0960
2016-02-11,0.7874,1.1347,4.4836,1.1027
2016-02-12,0.7774,1.1275,4.5087,1.0989
2016-02-15,0.7720,1.1180,4.4567,1.1009
2016-02-16,0.7758,1.1166,4.4833,1.1018
2016-02-17,0.7784,1.1136,4.4866,1.1034
2016-02-18,0.7714,1.1084,4.4527,1.1028
2016-02-19,0.7772,1.1096,4.4854,1.1017
2016-02-22,0.7824,1.1026,4.3755,1.1008
2016-02-23,0.7799,1.1002,4.3570,1.0921
2016-02-24,0.7894,1.0981,4.3793,1.0914
2016-02-25,0.7892,1.1027,4.3527,1.0935
2016-02-26,0.7875,1.1006,4.3356,1.0929
2016-02-29,0.7858,1.0888,4.3394,1.0914
2016-03-01,0.7780,1.0872,4.3519,1.0860
2016-03-02,0.7741,1.0856,4.2523,1.0845
2016-03-03,0.7744,1.0901,4.1949,1.0840
2016-03-04,0.7748,1.0970,4.0834,1.0898
2016-03-07,0.7744,1.0953,4.1228,1.0962
2016-03-08,0.7761,1.1028,4.1690,1.0952
2016-03-09,0.7714,1.0973,4.0740,1.0978
2016-03-10,0.7673,1.0857,3.9720,1.0941
2016-03-11,0.7760,1.1090,4.0401,1.0948
2016-03-14,0.7743,1.1119,4.0261,1.0969
2016-03-15,0.7836,1.1109,4.1191,1.0954
